               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  71,            0.038282,            0.036761,           0.0017625,             0.99603,             0.99904,               0.995,             0.46257,            0.023315,           0.0090476,          0.00084633,           0.0096535,           0.0096535,           0.0096535
                  72,            0.050047,             0.03769,           0.0019506,             0.98464,             0.99508,             0.99384,             0.35801,            0.018784,            0.010641,          0.00094404,           0.0096486,           0.0096486,           0.0096486
                  73,             0.04567,            0.046869,           0.0020085,             0.99373,             0.99896,               0.995,              0.5166,             0.02156,           0.0093236,           0.0009508,           0.0096436,           0.0096436,           0.0096436
                  74,            0.037736,            0.039931,           0.0019936,              0.9926,             0.99891,               0.995,             0.57344,            0.014375,           0.0082026,          0.00099901,           0.0096387,           0.0096387,           0.0096387
                  75,            0.033397,            0.035069,           0.0017682,             0.99376,             0.99689,             0.99499,              0.5388,            0.018285,            0.008962,          0.00099524,           0.0096337,           0.0096337,           0.0096337
                  76,            0.045432,            0.034666,           0.0019819,               0.988,             0.99275,             0.99499,             0.47322,            0.029123,            0.010933,          0.00086532,           0.0096288,           0.0096288,           0.0096288
                  77,            0.054878,            0.038407,           0.0020676,              0.6663,              0.7588,             0.65354,             0.26477,            0.024288,            0.011052,          0.00094268,           0.0096238,           0.0096238,           0.0096238
                  78,            0.044886,             0.03402,           0.0019546,             0.73429,             0.84783,             0.74071,             0.41195,            0.018841,            0.011878,            0.001038,           0.0096188,           0.0096188,           0.0096188
                  79,             0.03879,             0.03497,           0.0017064,             0.94985,             0.99286,             0.99498,             0.48295,            0.020991,            0.012131,           0.0010954,           0.0096139,           0.0096139,           0.0096139
                  80,             0.04145,            0.035401,           0.0014072,             0.97733,             0.98988,             0.99496,             0.56861,            0.020172,            0.010335,           0.0010988,            0.009609,            0.009609,            0.009609
